Country Name,Country Code,Capital City,Longitude,Latitude,Coordinates,,,,
Northern Mariana Islands,MNP,Saipan,15.2,145.75,"15.2, 145.75",COUNTRY,,,
Mozambique,MOZ,Maputo,-25.95,32.583333,"-25.95, 32.583333",COUNTRY,,,
Mauritania,MRT,Nouakchott,18.06666667,-15.966667,"18.0666666666666, -15.966667",COUNTRY,,,
Mauritius,MUS,Port Louis,-20.15,57.483333,"-20.15, 57.483333",COUNTRY,,,
Malawi,MWI,Lilongwe,-13.96666667,33.783333,"-13.9666666666666, 33.783333",COUNTRY,,,
Malaysia,MYS,Kuala Lumpur,3.166666667,101.7,"3.16666666666666, 101.7",COUNTRY,,,
Namibia,NAM,Windhoek,-22.56666667,17.083333,"-22.5666666666666, 17.083333",COUNTRY,,,
New Caledonia,NCL,Noumea,-22.26666667,166.45,"-22.2666666666666, 166.45",COUNTRY,,,
Niger,NER,Niamey,13.51666667,2.116667,"13.5166666666666, 2.116667",COUNTRY,,,
Nigeria,NGA,Abuja,9.083333333,7.533333,"9.08333333333333, 7.533333",COUNTRY,,,
Nicaragua,NIC,Managua,12.13333333,-86.25,"12.1333333333333, -86.25",COUNTRY,,,
Netherlands,NLD,Amsterdam,52.35,4.916667,"52.35, 4.916667",COUNTRY,,,
Norway,NOR,Oslo,59.91666667,10.75,"59.91666667, 10.75",COUNTRY,,,
Nepal,NPL,Kathmandu,27.71666667,85.316667,"27.7166666666666, 85.316667",COUNTRY,,,
New Zealand,NZL,Wellington,-41.3,174.783333,"-41.3, 174.783333",COUNTRY,,,
OECD members,OED,,,,", ",REGION,,,
Oman,OMN,Muscat,23.61666667,58.583333,"23.6166666666666, 58.583333",COUNTRY,,,
Other small states,OSS,,,,", ",REGION,,,
Pakistan,PAK,Islamabad,33.68333333,73.05,"33.68333333, 73.05",COUNTRY,,,
Panama,PAN,Panama City,8.966666667,-79.533333,"8.966666667, -79.533333",COUNTRY,,,
Peru,PER,Lima,-12.05,-77.05,"-12.05, -77.05",COUNTRY,,,
Philippines,PHL,Manila,14.6,120.966667,"14.6, 120.966667",COUNTRY,,,
Palau,PLW,Melekeok,7.483333333,134.633333,"7.483333333, 134.633333",COUNTRY,,,
Papua New Guinea,PNG,Port Moresby,-9.45,147.183333,"-9.45, 147.183333",COUNTRY,,,
Poland,POL,Warsaw,52.25,21,"52.25, 21",COUNTRY,,,
Puerto Rico,PRI,San Juan,18.46666667,-66.116667,"18.4666666666666, -66.116667",COUNTRY,,,
"Korea, Dem. People's Rep.",PRK,Pyongyang,39.01666667,125.75,"39.0166666666666, 125.75",COUNTRY,,,
Portugal,PRT,Lisbon,38.71666667,-9.133333,"38.7166666666666, -9.133333",COUNTRY,,,
Paraguay,PRY,Asuncion,-25.26666667,-57.666667,"-25.26666667, -57.666667",COUNTRY,,,
West Bank and Gaza,PSE,West Bank,31.9466,35.3027,"31.9466, 35.3027",COUNTRY,,,
Pacific island small states,PSS,,,,", ",REGION,,,
French Polynesia,PYF,Papeete,-17.53333333,-149.566667,"-17.5333333333333, -149.566667",COUNTRY,,,
Qatar,QAT,Doha,25.28333333,51.533333,"25.2833333333333, 51.533333",COUNTRY,,,
Romania,ROU,Bucharest,44.43333333,26.1,"44.43333333, 26.1",COUNTRY,,,
Russian Federation,RUS,Moscow,55.75,37.6,"55.75, 37.6",COUNTRY,,,
Rwanda,RWA,Kigali,-1.95,30.05,"-1.95, 30.05",COUNTRY,,,
Saudi Arabia,SAU,Riyadh,24.65,46.7,"24.65, 46.7",COUNTRY,,,
Sudan,SDN,Khartoum,15.6,32.533333,"15.6, 32.533333",COUNTRY,,,
Senegal,SEN,Dakar,14.73333333,-17.633333,"14.7333333333333, -17.633333",COUNTRY,,,
Singapore,SGP,Singapore,1.283333333,103.85,"1.28333333333333, 103.85",COUNTRY,,,
Solomon Islands,SLB,Honiara,-9.433333333,159.95,"-9.43333333333333, 159.95",COUNTRY,,,
Sierra Leone,SLE,Freetown,8.483333333,-13.233333,"8.48333333333333, -13.233333",COUNTRY,,,
El Salvador,SLV,San Salvador,13.7,-89.2,"13.7, -89.2",COUNTRY,,,
San Marino,SMR,San Marino,43.93333333,12.416667,"43.9333333333333, 12.416667",COUNTRY,,,
Somalia,SOM,Mogadishu,2.066666667,45.333333,"2.06666666666666, 45.333333",COUNTRY,,,
Serbia,SRB,Belgrade,44.83333333,20.5,"44.8333333333333, 20.5",COUNTRY,,,
South Sudan,SSD,Juba,4.85,31.616667,"4.85, 31.616667",COUNTRY,,,
Sub-Saharan Africa,SSF,,,,", ",REGION,,,
Sao Tome and Principe,STP,Sao Tome,0.333333333,6.733333,"0.333333333333333, 6.733333",COUNTRY,,,
Suriname,SUR,Paramaribo,5.833333333,-55.166667,"5.83333333333333, -55.166667",COUNTRY,,,
Slovak Republic,SVK,Bratislava,48.15,17.116667,"48.15, 17.116667",COUNTRY,,,
Slovenia,SVN,Ljubljana,46.05,14.516667,"46.05, 14.516667",COUNTRY,,,
Sweden,SWE,Stockholm,59.33333333,18.05,"59.33333333, 18.05",COUNTRY,,,
Swaziland,SWZ,Mbabane,-26.31666667,31.133333,"-26.3166666666666, 31.133333",COUNTRY,,,
Sint Maarten (Dutch part),SXM,Philipsburg,18.01666667,-63.033333,"18.0166666666666, -63.033333",COUNTRY,,,
Seychelles,SYC,Victoria,-4.616666667,55.45,"-4.61666666666666, 55.45",COUNTRY,,,
Syrian Arab Republic,SYR,Damascus,33.5,36.3,"33.5, 36.3",COUNTRY,,,
Turks and Caicos Islands,TCA,Grand Turk,21.46666667,-71.133333,"21.4666666666666, -71.133333",COUNTRY,,,
Chad,TCD,N'Djamena,12.1,15.033333,"12.1, 15.033333",COUNTRY,,,
Togo,TGO,Lome,6.116666667,1.216667,"6.11666666666666, 1.216667",COUNTRY,,,
Thailand,THA,Bangkok,13.75,100.516667,"13.75, 100.516667",COUNTRY,,,
Tajikistan,TJK,Dushanbe,38.55,68.766667,"38.55, 68.766667",COUNTRY,,,
Turkmenistan,TKM,Ashgabat,37.95,58.383333,"37.95, 58.383333",COUNTRY,,,
Timor-Leste,TLS,Dili,-8.583333333,125.6,"-8.58333333333333, 125.6",COUNTRY,,,
Tonga,TON,Nuku'alofa,-21.13333333,-175.2,"-21.1333333333333, -175.2",COUNTRY,,,
Trinidad and Tobago,TTO,Port of Spain,10.65,-61.516667,"10.65, -61.516667",COUNTRY,,,
Tunisia,TUN,Tunis,36.8,10.183333,"36.8, 10.183333",COUNTRY,,,
Turkey,TUR,Ankara,39.93333333,32.866667,"39.9333333333333, 32.866667",COUNTRY,,,
Tuvalu,TUV,Funafuti,-8.516666667,179.216667,"-8.51666666666666, 179.216667",COUNTRY,,,
Tanzania,TZA,Dar es Salaam,-6.8,39.283333,"-6.8, 39.283333",COUNTRY,,,
Uganda,UGA,Kampala,0.316666667,32.55,"0.316666666666666, 32.55",COUNTRY,,,
Ukraine,UKR,Kyiv,50.43333333,30.516667,"50.4333333333333, 30.516667",COUNTRY,,,
Uruguay,URY,Montevideo,-34.85,-56.166667,"-34.85, -56.166667",COUNTRY,,,
United States,USA,Washington,38.883333,-77,"38.883333, -77",COUNTRY,,,
Uzbekistan,UZB,Tashkent,41.31666667,69.25,"41.31666667, 69.25",COUNTRY,,,
St. Vincent and the Grenadines,VCT,Kingstown,13.13333333,-61.216667,"13.1333333333333, -61.216667",COUNTRY,,,
"Venezuela, RB",VEN,Caracas,10.48333333,-66.866667,"10.4833333333333, -66.866667",COUNTRY,,,
Virgin Islands (U.S.),VIR,Charlotte Amalie,18.3419,64.9307,"18.3419, 64.9307",COUNTRY,,,
Vietnam,VNM,Hanoi,21.03333333,105.85,"21.0333333333333, 105.85",COUNTRY,,,
Vanuatu,VUT,Port-Vila,-17.73333333,168.316667,"-17.7333333333333, 168.316667",COUNTRY,,,
Samoa,WSM,Apia,-13.81666667,-171.766667,"-13.8166666666666, -171.766667",COUNTRY,,,
Kosovo,XKX,Pristina,42.66666667,21.166667,"42.6666666666666, 21.166667",COUNTRY,,,
"Yemen, Rep.",YEM,Sanaa,15.35,44.2,"15.35, 44.2",COUNTRY,,,
South Africa,ZAF,Pretoria,-25.7,28.216667,"-25.7, 28.216667",COUNTRY,,,
Zambia,ZMB,Lusaka,-15.41666667,28.283333,"-15.4166666666666, 28.283333",COUNTRY,,,
Zimbabwe,ZWE,Harare,-17.81666667,31.033333,"-17.8166666666666, 31.033333",COUNTRY,,,
